#{"t_start": 1777036785.493741, "env_id": "None"}
r,l,t
-148.306607,707,61.148505
-13.970965,160,61.162426
-7.59889,141,61.174569
-79.793252,288,61.199047
-128.88747,1000,61.290047
-87.763662,1000,61.632648
-66.448499,387,61.665924
-23.49696,266,61.690261
-46.513544,268,61.714152
-4.838476,142,61.72672
-187.555458,1000,62.064105
0.284186,125,62.074834
-136.228594,449,62.11498
-47.640365,970,62.457649
-7.333912,79,62.464831
-31.847786,197,62.482502
-5.831478,104,62.491878
-21.7491,142,62.504586
-83.150989,380,62.538674
-62.435041,283,62.564002
-25.60207,165,62.578527
4.494197,75,62.58516
1.48979,60,62.590334
-11.538408,178,62.605658
-51.455636,313,62.885773
-6.198207,67,62.891767
3.042707,44,62.895655
-83.321349,1000,62.982881
-11.348406,187,62.999288
-14.697928,123,63.009851
-39.159862,227,63.029409
-91.249229,255,63.309759
-27.867659,186,63.325894
-5.572739,70,63.332002
-4.326499,71,63.338185
-42.416549,180,63.353739
-145.964753,557,63.40281
-147.050108,1000,63.747483
-43.317342,238,63.768671
-59.828067,384,63.801924
-89.375823,1000,63.889846
-93.412175,1000,64.23458
-48.566046,313,64.261987
-7.280128,115,64.272263
-7.047023,134,64.284263
-57.425961,296,64.309784
-7.106137,57,64.314769
-104.602268,333,64.343631
-5.469463,78,64.350426
-106.251586,1000,64.702177
-26.802173,312,64.730523
-119.339119,326,64.759363
-10.941904,301,64.78561
-125.717988,1000,65.131689
-29.530141,98,65.141754
-44.156963,152,65.156112
3.927569,38,65.159647
-6.789871,87,65.167529
5.497089,39,65.171115
-58.217166,777,65.492646
-54.359859,181,65.50938
-35.317242,198,65.527227
-8.60417,108,65.536942
-58.929898,280,65.562472
-8.635879,139,65.574983
0.283054,100,65.583839
-112.962904,1000,65.672648
